Date,Time,RankID,DriverID,VehicleID,QueuePosition
2025-07-08,18:12:59,R2,D179,V202,5
2025-04-02,20:22:58,R4,D197,V233,10
2025-03-18,23:07:09,R8,D136,V267,17
2025-06-21,23:03:50,R7,D193,V209,13
2025-01-25,22:39:06,R9,D188,V225,5
2025-08-18,19:43:27,R7,D198,V255,15
2025-07-05,23:08:04,R1,D118,V205,1
2025-10-04,08:00:06,R6,D101,V271,10
2025-10-26,23:42:20,R8,D154,V266,3
2025-08-07,03:20:38,R4,D164,V267,8
2025-08-19,02:23:06,R4,D183,V275,20
2025-03-13,01:31:07,R2,D101,V268,3
2025-09-28,12:54:38,R3,D137,V263,2
2025-08-22,20:54:46,R8,D134,V222,2
2025-12-10,18:36:58,R5,D142,V246,19
2025-08-01,04:02:53,R6,D110,V237,3
2025-04-24,13:47:10,R4,D123,V229,7
2025-03-11,02:30:29,R5,D191,V244,15
2025-10-01,12:51:30,R1,D133,V219,6
2025-05-14,08:10:48,R5,D130,V201,1
2025-12-03,22:17:35,R2,D161,V215,5
2025-10-02,21:07:54,R5,D198,V208,17
2025-07-18,09:28:06,R7,D190,V245,16
2025-12-08,11:21:42,R9,D133,V218,10
2025-02-22,21:36:38,R9,D136,V219,19
2025-02-16,06:32:26,R9,D181,V210,2
2025-04-08,09:25:29,R1,D150,V207,5
2025-01-13,21:02:24,R8,D154,V223,9
2025-09-17,13:43:05,R2,D170,V201,8
2025-10-26,16:48:46,R8,D110,V291,10
2025-07-13,07:37:24,R5,D183,V213,15
2025-04-01,10:52:41,R10,D147,V240,3
2025-04-17,03:03:35,R7,D117,V240,18
2025-06-05,02:01:27,R2,D107,V281,10
2025-07-03,05:18:43,R2,D116,V241,1
2025-06-12,03:27:48,R7,D141,V202,1
2025-06-04,09:47:33,R4,D128,V261,17
2025-01-28,17:39:32,R5,D197,V278,14
2025-06-29,02:10:53,R3,D129,V241,8
2025-11-21,09:35:20,R1,D175,V204,1
2025-08-21,01:34:26,R4,D139,V204,6
2025-11-26,23:00:31,R4,D183,V256,12
2025-06-24,12:52:24,R7,D142,V259,8
2025-09-17,05:32:31,R7,D138,V276,12
2025-10-15,11:47:12,R6,D141,V213,6
2025-05-07,09:00:10,R8,D111,V240,3
2025-03-21,10:32:40,R2,D111,V253,6
2025-10-23,23:06:10,R5,D159,V256,18
2025-01-20,10:49:18,R4,D109,V269,14
2025-08-20,04:56:55,R4,D175,V232,6
